year,Base Price,GDP,Export,Import,Trade Deficit,GDP_AGRI,GDP_MINING,GDP_MANUFAC,GDP_ELECTRIC,GDP_CONSTRU,GDP_TRADE,GDP_TRANSPOR,GDP_FINANCIAL,GDP_SOCIAL
1951,Const. 2004-05,279618.0252,20455.10363,23085.27891,2630.175279,145052.4418,5138.329994,25096.04989,791.2546164,14250.90679,23453.27259,7338.730698,23325.48707,28474
1952,Const. 2004-05,286146.8592,22789.65162,32666.78033,9877.128717,147215.6411,5771.687696,25888.50257,883.0513629,15224.71045,23992.57588,7615.046036,23862.68502,29329
1953,Const. 2004-05,294267.1373,20084.8838,23037.85546,2952.971665,151858.7363,5904.766746,26789.01697,923.4477157,14121.39837,24833.63219,7807.443383,24862.65805,29934
1954,Const. 2004-05,312177.4052,17624.88261,20846.3304,3221.447796,163553.2528,5993.486113,28862.77299,995.6250123,14557.244,25777.41294,8083.758721,25218.53478,30860
1955,Const. 2004-05,325430.7426,21411.16092,26610.56021,5199.399284,168360.9587,6249.786506,30885.07104,1081.684462,16357.90909,27575.09055,8490.044606,26140.02548,31967
1956,Const. 2004-05,333766.2569,23205.59895,30046.95863,6841.359683,166906.3012,6348.36358,33303.59543,1202.402968,19456.14887,29610.31842,9089.751229,27190.06481,32955
1957,Const. 2004-05,352765.7509,20816.63206,37224.15555,16407.5235,175979.5712,6671.203498,35804.45257,1311.646881,21692.65958,31703.32879,9833.755861,27635.24901,34219
1958,Const. 2004-05,348500.1591,20981.26049,39954.05247,18972.79198,168074.6793,7104.942625,37183.52605,1513.158092,19040.22761,32377.45789,10453.93029,28678.52262,35765
1959,Const. 2004-05,374948.1331,18136.21978,32533.33675,14397.11697,185009.8994,7326.741042,39025.72122,1706.053895,21276.73833,33732.13638,11232.73018,29491.76184,37233
1960,Const. 2004-05,383153.2012,19117.04608,28956.51943,9839.473353,183147.2936,7703.798351,41675.80646,1965.643902,22736.19854,35857.24813,11921.47175,30618.93035,38834
1961,Const. 2004-05,410279.4956,18891.11015,33791.80967,14900.69952,195482.3604,8857.150119,45133.78176,2126.523484,26295.18942,39138.00978,12741.20725,31252.20149,40741
1962,Const. 2004-05,423011.048,18855.99664,30495.11414,11639.1175,195646.9711,9367.286478,48987.98339,2431.306036,27219.18216,41641.91788,13617.22921,32595.87296,42656
1963,Const. 2004-05,431959.6597,18746.66368,31687.23383,12940.57015,191755.3595,10478.74299,52554.02042,2730.116014,28232.83456,43824.81213,14678.48479,33693.27231,45686
1964,Const. 2004-05,453828.9708,20322.1479,32762.06126,12439.91336,196241.001,10789.26077,57524.85991,3227.088539,31679.75085,47034.95073,15614.88677,34735.19278,48684
1965,Const. 2004-05,488247.2097,18998.75953,33869.33466,14870.57512,214342.81,10944.51967,61502.56066,3522.785129,34225.08932,50489.05986,16400.85039,35687.80578,51894
1966,Const. 2004-05,470402.1649,16364.73799,30124.67064,13759.93266,190674.6545,12230.95048,62073.74408,3892.324877,36508.92042,50810.07372,17268.68523,36766.26112,53950
