year,Base Price,GDP,Export,Export-G,Export-S,Import,Import-G,Import-S,Trade Deficit,GVA_AGRI,GVA_MINING,GVA_MANUFAC,GVA_ELECTRIC,GVA_CONSTRU,GVA_TRADE,GVA_TRANSPOR,GVA_FINANCIAL,GVA_REAL,GVA_PUBLIC,GVA_OTHER,GVA_AT,TAXES,SUBSIDIES
2012,Const. 2011-12,8736329,2143931,1466233,677698,2715554,2345463,370091,571623,1501947,261035,1409986,186668,777335,883582,529534,480226,1050651,491155,534827,8106946,890060,260677
2013,Const. 2011-12,9213017,2289836,1554420,735416,2879079,2471444,407635,589243,1675107,285842,1572837,215350,849365,1054533,609453,536819,1239813,546231,617343,9202692,1057977,316656
2014,Const. 2011-12,9801370,2468269,1664289,803979,2644555,2227911,416644,176286,1926372,295794,1713452,260155,921470,1184560,689906,599341,1470167,601912,700023,10363153,1180444,310075
2015,Const. 2011-12,10527674,2512145,1694158,817987,2667595,2245679,421916,155450,2093612,308476,1878369,282258,979086,1320833,786763,661411,1701935,676818,814718,11504279,1291662,327982
2016,Const. 2011-12,11369493,2370282,1517032,853250,2511540,2043205,468335,141258,2227533,294011,2146189,334965,991084,1433969,860544,726286,1899852,731578,928489,12574499,1518496,321120
2017,Const. 2011-12,12298327,2490437,1587786,902650,2621586,2094669,526917,131149,2496358,321872,2335068,353468,1082466,1608916,929352,750224,2161677,826962,1069555,13935917,1746288,319819
2018,Const. 2011-12,13179857,2607310,1615716,991594,3083560,2486222,597338,476250,2670147,351058,2542089,423089,1213628,1833720,989543,841977,2410813,955205,1251446,15482715,1971223,358933
2012,Current Price GVA,8736329,2143931,1466233,677698,2715554,2345463,370091,571623,1501947,261035,1409986,186668,777335,883582,529534,480226,1050651,491155,534827,8106946,890060,260677
2013,Current Price GVA,9944013,2439707,1647221,792486,3108428,2669160,439268,668721,1524288,262609,1486873,191635,780050,981620,569523,529792,1150239,501383,568262,8546275,960811,294070
2014,Current Price GVA,11233522,2856781,1937531,919250,3191811,2715430,476381,335030,1609198,263107,1560709,199601,800771,1034506,617556,577914,1289493,510046,600748,9063649,1008913,271192
2015,Current Price GVA,12467959,2863636,1896445,967191,3235962,2737087,498875,372326,1605715,288685,1683938,214047,835229,1135841,671848,627255,1446460,543853,659262,9712133,1092430,276889
2016,Current Price GVA,13771874,2728647,1718202,1010446,3044923,2490306,554617,316276,1616146,317974,1903850,224158,865335,1261426,731399,672788,1621999,565106,711691,10491870,1145558,267935
2017,Current Price GVA,15362386,2948772,1847406,1101366,3220591,2577675,642916,271819,1717467,348089,2055043,246491,917754,1389176,756239,697103,1797341,613896,780373,11318972,1239118,259762
2018,Current Price GVA,17095005,3210547,1953075,1257472,3758519,3001016,757503,547972,1803039,365677,2176923,267720,969194,1528421,783793,726709,1922437,683628,876624,12104165,1356301,280609
